ID,Blurb,Method,Scenario,Category,Label
11,"Nonprivileged information that is relevant to the subject matter of the action is discoverable, even if it is inadmissible, if it appears reasonably calculated to lead to the discovery of admissible evidence. This standard gives the propounding party a broad right to discovery. (CCP § 2017.010; Williams v. Super. Ct. (2017), 3 Cal.5th 531, 541.) Any doubts about discoverability are resolved in favor of disclosure. (See Williams, 3 Cal.5th at 542.) “California’s pretrial discovery procedures are designed to minimize the opportunities for fabrication and forgetfulness, and to eliminate the need for guesswork about the other side’s evidence, with all doubts about discoverability resolved in favor of disclosure.” (Glenfed Dev. Corp. v. Super. Ct. (1997) 53 Cal.App.4th 1113, 1119.) To accomplish the legislative purpose behind the discovery statutes, they “must be construed liberally in favor of disclosure.” (Emerson Elec. Co. v Super. Ct. (1997) 16 Cal.4th 1101, 1107, quoting Greyhound Corp. v Super. Ct. (1961) 56 Cal.2d 355, 377 [emphasis added].)",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,Claimed irrelevance or overbreadth
12,It is improper to object that an interrogatory calls for hearsay. (CCP § 2017.010 [discoverable information need not be admissible in evidence].),Interrogatory,Interrogatory Responses,Invalid/Improper Objection,"Improper 'hearsay"" objection"
13,"Black-letter law authorizes interrogatories that call for responses that furnish factual grounds for lay opinions or legal contentions. (CCP § 2030.010(b).) ""An interrogatory is not objectionable because an answer to it involves an opinion or contention that relates to fact or the application of law to fact, or would be based on information obtained or legal theories developed in anticipation of litigation or in preparation for trial  calls for a legal contention. (Ibid.; see also Rifkind v. Super. Ct. (1994) 22 Cal.App.4th 1255, 1261.)",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,"Improper ""legal contention"" or ""opinion"" objection"
14,"It is improper to object that a question posed by an interrogatory was (or would be) asked and answered via a separate discovery method. (See Irvington-Moore, Inc. v. Super. Ct. (1993) 14 Cal.App.4th 733, 739 [holding that a party may use multiple methods of discovery to obtain the same information];  Coy v. Super. Ct. (1962) 58 Cal.2d 210, 217-219 [rejecting objection that interrogatory was previously answered at deposition]).",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,Objection that answer was already given in other discovery
15,"If discovery responses contain anything aside from objections, the responding party must verify the responses under oath by declaring that the party has read the interrogatories and that the responses are true based on the party's knowledge. Unlike for pleadings, verifying on ""information and belief"" is not sufficient for discovery responses. (Edmon & Karnow, Cal. Practice Guide: Civil Procedure Before Trial (The Rutter Group 2022) ¶ 8:1104.)",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,Verified based on “information and belief”
16,"A responding party generally may not respond to interrogatories merely by asserting the party's inability to respond. (Sinaiko Healthcare Consulting, Inc. v. Pacific Healthcare Consultants (2007) 148 Cal.App.4th 390, 406; see also CCP § 2030.220(c) [responding party that does not have personal knowledge sufficient to respond fully to interrogatory may so state but must make reasonable and good-faith effort to obtain information by inquiry to other natural persons or organizations].)",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,Claimed inability to respond
17,"Responses to interrogatories must be “as complete and straightforward as the information reasonably available... permits.” (CCP § 2030.220(a).) “If an interrogatory cannot be answered completely, it shall be answered to the extent possible.” (CCP § 2030.220(b).) Objection based on ambiguity is only appropriate if the question is wholly unintelligible. (xxxxx.) An interrogatory must be answered if “the nature of the information sought is apparent.” (Deyo v. Kilbourne (1978) 84 Cal.App.3d 771, 783.) Even where there are material typos in an interrogatory, where responder's counsel can fairly assume the intended meaning, the responder should answer with the assumed meaning. See California Civil Discovery Practice (CEB) §7.81 [""PRACTICE TIP[:] An answer to an ambiguous interrogatory might be as follows: 'Assuming this interrogatory was intended to refer to (e.g., Code of Civil Procedure section 339, instead of Code of Civil Procedure section 337), and assuming that this interrogatory refers only to (state limiting construction), the answer is (continue with answer to interrogatory as construed).'""].)",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,ambiguous
18,"Objection on the basis that an interrogatory calls for undisputed or already disclosed/admitted facts is not valid. (Alpine Mut. Water Co. v. Super. Ct. (1968) 259 Cal.App.2d 45, 54 fn. 6 [“Ordinarily it is not a ground for objection to an interrogatory that the answer is known to the party who seeks the information. [citing Singer v. Super. Ct. (1960) 54 Cal.2d 318, 324] It is frequently important for an interrogating party to compel his adversary to admit a known fact for the purpose of preventing him from later shifting his ground [citing Durst v. Super. Ct. (1963) 218 Cal.App.2d 460, 466]""].)",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,Known to propounder
19,"An objection that an interrogatory response would be ""burdensome,"" by itself, is not a valid basis for objection: the ground for objection is “oppression.” Thus, it is not enough that the questions will require a lot of work to answer. It must be shown that the burden of answering is so unjust that it amounts to oppression. (West Pico Furniture Co. of Los Angeles v. Sup.Ct. (Pacific Finance Loans), supra, 56 C2d at 417-418, 15 CR at 124] In determining whether the burden is unjust, a weighing process is required: It must appear that the amount of work required to answer the questions is so great, and the utility of the information sought so minimal, that it would defeat the ends of justice to require the answers. [See Columbia Broadcasting System, Inc. v. Sup.Ct. (Rolfe) (1968) 263 CA2d 12, 19, 69 CR 348, 352; and West Pico Furniture Co. of Los Angeles v. Sup.Ct. (Pacific Finance Loans), supra, 56 C2d at 417-418, 15 CR at 124]"". Showing required: On a motion to compel answers, the burden is on the objecting party to sustain the objection by detailed evidence showing precisely how much work is required to answer; conclusionary statements are not sufficient. [West Pico Furniture Co. of Los Angeles v. Sup.Ct. (Pacific Finance Loans), supra, 56 C2d at 417, 15 CR at 123-124—declaration by manager that search of 78 branch offices would be required was insufficient; should show hours required]. A discovery request was held “oppressive” where uncontradicted declarations showed that response would require review of over 13,000 insurance claims files, requiring 5 claims adjusters working full time for 6 weeks each. (Mead Reinsurance Co. v. Super. Ct. (1986) 188 Cal.App.3d 313, 318; Edmon & Karnow, Cal. Practice Guide: Civil Procedure Before Trial (The Rutter Group 2022) ¶ 8:1023.)",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,Burdensome
20,"Question calls for opinion or conclusion. [West Pico Furniture Co. of Los Angeles v. Sup.Ct. (Pacific Finance Loans) (1961) 56 C2d 407, 416-417, 15 CR 119, 123]. See CCP § 2017.010; Greyhound Corp. v Superior Court (1961) 56 C2d 355, 392, 15 CR 90.",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,Objection calls for opinion or conclusion
21,"The Legislature was aware that establishing a broad right to discovery might permit parties lacking any valid cause of action to engage in ―fishing expedition[s],‖ to a defendant‘s inevitable annoyance.  (Greyhound Corp. v. Superior Court, supra, 56 Cal.2d at p. 385.)  It granted such a right anyway, comfortable in the conclusion that ―[m]utual knowledge of all the relevant facts gathered by both parties is essential to proper litigation. (Id. at p. 386.) ",Interrogatory,Interrogatory Responses,Invalid/Improper Objection,Objection – “fishing expedition”
22,"The party to whom the CCP § 2031.010 demand is directed must respond separately to each item in the demand by one of the following: (1) agreement to comply: A statement that the party will comply by the date set for inspection with the particular demand for inspection, testing, etc.; or (2) representation of inability to comply: A statement that the party lacks the ability to comply with the particular demand; or (3) objections: An objection to all or part of the demand. [CCP § 2031.210(a)]",Request for Documents ,RPD Responses,Invalid Form of Response,Not one of three valid response forms
23,"If only part of an item or category demanded is objectionable, the response must contain an agreement to comply with the remainder, or a representation of inability to comply. [CCP § 2031.240(a)] (General objections to the entire request are unauthorized and constitute discovery misuse; see ¶ 8:1071 (dealing with interrogatories).)",Request for Documents ,RPD Responses,Invalid/Improper Objection,Only partially objected to
24,"Documents produced by the responding party must be sorted and labeled to correspond with the categories in the document demand. [CCP § 2031.280(a)] (Prior law permitted production of documents as they were kept in the ordinary course of business.) Sanctions possible for noncompliance: Sanctions may be assessed for production of documents that are in complete disorder if the court finds that the producing party is responsible for the disordered state. [Kayne v. Grande Holdings Ltd. (2011) 198 CA4th 1470, 1476, 130 CR3d 751, 755—producing party ordered to pay more than $74,000 of costs incurred by opposing party to organize documents; see ¶ 8:1508.2a]",Request for Documents ,RPD Responses,Invalid Form of Response,Failure to properly sort or categorize documents
25,"A response stating inability to comply with the CCP § 2031.010 demand shall state the following: (1) that a diligent search and reasonable inquiry has been made in an effort to locate the item demanded; and (2) the reason the party is unable to comply: e.g., the document: never existed, or has been lost or stolen, or has been destroyed, or is not in the possession, custody or control of the responding party, in which case, the response must state the name and address of anyone believed to have the document. (CCP § 2031.230; Edmon & Karnow, Cal. Practice Guide: Civil Procedure Before Trial (The Rutter Group 2022) ¶ 8:1473.)",Request for Documents ,RPD Responses,Invalid Form of Response,Failure to aver proper inquiry or to indicate the existence or nonexistence of documents
26,"(3) [8:1474] Objections: The responding party may object to any item or category demanded in whole or in part. To be effective, the objection must: (1) identify with particularity the specific document or evidence demanded as to which the objection is made; and (2) set forth the specific ground for objection, including claims of privilege or work product protection. (CCP § 2031.240(b); see Standon Co., Inc. v. Super. Ct. (1990) 225 Cal.App.3d 898, 901 [objections imply the existence of documents that are being withheld per the objection].)",Request for Documents ,RPD Responses,Invalid/Improper Objection,Failure to identify specific grounds for objection of the request with particularity
27,"(a) [8:1474.5] Objection based on privilege; “privilege log” may be required: When asserting claims of privilege or attorney work product protection, the objecting party must provide “sufficient factual information” to enable other parties to evaluate the merits of the claim, “including, if necessary, a privilege log.” [CCP § 2031.240(c)(1) (emphasis added); Lopez v. Watchtower Bible & Tract Soc. of New York, Inc. (2016) 246 CA4th 566, 596-597, 201 CR3d 156, 181—burden to show preliminary facts supporting application of privilege not met where D failed to produce privilege log or identify any specific confidential communications]. Required contents of privilege log: As the term is commonly used by courts and attorneys, a “privilege log” identifies each document for which a privilege or work product protection is claimed, its author, recipients, date of preparation, and the specific privilege or work product protection claimed. [Hernandez v. Sup.Ct. (Acheson Indus., Inc.) (2003) 112 CA4th 285, 291-292, 4 CR3d 883, 888-889, fn. 6; see CCP § 2031.240(c)(2)—Legislative intent to codify concept of privilege log “as that term is used in California case law”]. “The information in the privilege log must be sufficiently specific to allow a determination of whether each withheld document is or is not [in] fact privileged.” [Wellpoint Health Networks, Inc. v. Sup.Ct. (McCombs) (1997) 59 CA4th 110, 130, 68 CR2d 844, 857; see Catalina Island Yacht Club v. Sup.Ct. (Beatty) (2015) 242 CA4th 1116, 1130, 195 CR3d 694, 704 & fn. 5—privilege log deficient due to failure to describe documents or contents (other than noting they were emails with counsel) since not all communications with attorneys are privileged]",Request for Documents ,RPD Responses,Invalid/Improper Objection,Assertion of privilege w/o privilege info/log
28,"An objection of “vague, ambiguous and unintelligible” to a request for “any and all bills, statements, invoices” may be treated as a “nuisance” objection, exposing the responding party to sanctions. [Standon Co., Inc. v. Sup.Ct. (Kim) (1990) 225 CA3d 898, 903, 275 CR 833, 835; see also Manzetti v. Sup.Ct. (Fitzgerald) (1993) 21 CA4th 373, 377, 25 CR2d 857, 858, 859]",Request for Documents ,RPD Responses,Invalid/Improper Objection,Claimed ambiguity
29,"""The answer must be “as complete and straightforward” as the information available reasonably permits and must “[a]dmit so much of the matter involved in the request as is true … or as reasonably and clearly qualified by the responding party.” (CCP § 2033.220(a), (b)(1) [emphasis added]; see 5. [8:1307] Responses to RFAs:, Cal. Prac. Guide Civ. Pro. Before Trial Ch. 8G-5.)",Request for Admissions,RFA Responses,Incomplete Response,Insufficient response to partially-correct RFA
30,"A response to RFAs may “deny so much of the matter involved in the request as is untrue” (CCP § 2033.220(b)(2)), and ""must be read in conjunction with the requirement that the answer be 'as complete and straightforward as the information reasonably available to the responding party permits'"" (Rutter Civ Pro Before Trial, quoting CCP § 2033.220(a) [emphasis Rutter's].) ""The responding party should not deny based solely on quibbles with the wording of the request. It may be improper to deny an RFA outright if the request is at least partially true[.]"" (5. [8:1307] Responses to RFAs:, Cal. Prac. Guide Civ. Pro. Before Trial Ch. 8G-5.)",Request for Admissions,RFA Responses,Incomplete Response,quibble with wording
31,"In lieu of admitting or denying the RFA, a party may respond by claiming inability (lack of sufficient information) to admit or deny the matter stated in the request. (CCP § 2033.220(c).) But a party responding in this manner must also state that a reasonable inquiry was made to obtain sufficient information: i.e., “a reasonable inquiry concerning the matter in the particular request has been made, and that the information known or readily obtainable is insufficient to enable that party to admit the matter.” (CCP § 2033.220(c) [emphasis added].) The Discovery Act thus requires the responding party to undertake a “good faith” obligation to investigate sources reasonably available to him or her in formulating answers to RFAs (similar to the duty owed in responding to interrogatories; ¶ 8:1054). [CCP § 2033.220(c); see Chodos v. Sup.Ct. (Lowe) (1963) 215 CA2d 318, 322, 30 CR 303, 305; Association for Los Angeles Deputy Sheriffs v. Macias (2021) 63 CA5th 1007, 1029, 278 CR3d 487, 506-507] And information known to a party's attorney or expert witnesses is deemed “obtainable” by the party. Therefore, responses to RFAs must be made in light of such information. [Chodos v. Sup.Ct. (Lowe), supra, 215 CA2d at 323-324, 30 CR at 305-306—improper to deny RFA claiming lack of personal knowledge, where party's expert witness had the information; Bloxham v. Saldinger (2014) 228 CA4th 729, 752, 175 CR3d 650, 667—party may not necessarily avoid responding to RFA on ground it “calls for expert opinion and the party does not know the answer”]""The responding party's simple statement that he or she has made a “reasonable” inquiry and is unable to admit or deny the request because insufficient information is available may not suffice as an answer to the RFA. The propounding party may move to compel a proper response or to have the matter ordered admitted if the answering party has not made a reasonable inquiry or has access to “readily available” information that would enable him or her to admit or deny the matter. [See Asea, Inc. v. Southern Pac. Transp. Co. (9th Cir. 1981) 669 F2d 1242, 1245-1246 (decided under analogous FRCP rule)]"" (5. [8:1307] Responses to RFAs:, Cal. Prac. Guide Civ. Pro. Before Trial Ch. 8G-5.)",Request for Admissions,RFA Responses,Incomplete Response,Claimed inability to admit or deny without reasonable inquiry
32,"It is no valid ground to object to an RFA that the request is “ambiguous,” unless it is so ambiguous that the responding party cannot in good faith frame an intelligent reply. [See Cembrook v. Sup.Ct. (Sterling Drug, Inc.), supra, 56 C2d at 428-429, 15 CR at 130-131] PRACTICE POINTER: If you decide to object on ground that the request is “too ambiguous to frame a response,” include a brief explanation of what you feel is ambiguous and why it prevents any intelligent reply."" (Responses to RFAs:, Cal. Prac. Guide Civ. Pro. Before Trial Ch. 8G-5.)",Request for Admissions,RFA Responses,Invalid/Improper Objection,"Untailored ""ambiguous"" objection without elaboration"
